# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 12:53:52 2024
#
# User preference: *
#
# CONSTRAINT:  order by pl_orbsmax asc
#
# COLUMN pl_name:        Planet Name
# COLUMN disc_telescope: Discovery Telescope
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,disc_telescope,pl_orbsmax,pl_rade,st_rad,sy_dist
55,AU Mic d,Multiple Telescopes,,1.020,0.74,9.7221000
123,CoRoT-7 d,3.6 m ESO Telescope,,4.310,0.84,159.9060000
138,DS Tuc A b,0.1 m TESS Telescope,,5.700,0.96,44.0622000
140,EPIC 201238110 b,0.95 m Kepler Telescope,,1.870,0.37,159.2590000
141,EPIC 201427007 b,0.95 m Kepler Telescope,,1.500,0.94,706.3910000
142,EPIC 201497682 b,0.95 m Kepler Telescope,,0.692,0.55,253.0260000
143,EPIC 201595106 b,0.95 m Kepler Telescope,,1.300,0.93,232.1000000
144,EPIC 201615463 c,0.95 m Kepler Telescope,,1.220,1.60,476.8820000
145,EPIC 201754305 d,0.95 m Kepler Telescope,,1.030,0.54,334.9670000
147,EPIC 201833600 c,0.95 m Kepler Telescope,,1.000,0.63,257.4430000
149,EPIC 205950854 c,0.95 m Kepler Telescope,,1.310,0.83,243.9350000
150,EPIC 206024342 b,0.95 m Kepler Telescope,,1.700,0.82,369.8880000
151,EPIC 206024342 c,0.95 m Kepler Telescope,,1.400,1.10,369.8880000
152,EPIC 206024342 d,0.95 m Kepler Telescope,,2.600,1.10,369.8880000
153,EPIC 206032309 b,0.95 m Kepler Telescope,,1.010,0.37,161.3650000
154,EPIC 206042996 b,0.95 m Kepler Telescope,,1.700,0.50,451.7690000
155,EPIC 206042996 c,0.95 m Kepler Telescope,,1.200,0.50,451.7690000
156,EPIC 206215704 b,0.95 m Kepler Telescope,,1.000,0.25,109.8880000
157,EPIC 206317286 b,0.95 m Kepler Telescope,,0.960,0.67,314.3500000
158,EPIC 206317286 c,0.95 m Kepler Telescope,,2.094,0.76,314.3500000
161,EPIC 212297394 b,0.95 m Kepler Telescope,,1.480,0.80,418.3950000
162,EPIC 212297394 c,0.95 m Kepler Telescope,,2.270,0.80,418.3950000
163,EPIC 212424622 b,0.95 m Kepler Telescope,,2.170,1.22,611.8040000
164,EPIC 212499991 b,0.95 m Kepler Telescope,,1.600,0.76,283.2900000
165,EPIC 212587672 b,0.95 m Kepler Telescope,,1.260,0.98,320.0700000
166,EPIC 212587672 c,0.95 m Kepler Telescope,,2.320,0.98,320.0700000
167,EPIC 212624936 b,0.95 m Kepler Telescope,,1.200,0.93,561.9290000
168,EPIC 212624936 c,0.95 m Kepler Telescope,,2.300,0.93,561.9290000
171,EPIC 220492298 b,0.95 m Kepler Telescope,,0.990,0.89,624.5120000
172,EPIC 220554210 c,0.95 m Kepler Telescope,,1.600,1.00,496.2890000
175,EPIC 228836835 b,0.95 m Kepler Telescope,,1.100,0.32,150.1240000
250,GJ 367 c,3.6 m ESO Telescope,,1.860,0.46,9.4126300
251,GJ 367 d,3.6 m ESO Telescope,,2.330,0.46,9.4126300
346,HAT-P-2 c,Multiple Telescopes,,12.400,1.42,127.7740000
492,HD 102329 c,10 m Keck I Telescope,,13.500,6.30,217.1070000
535,HD 109833 b,0.1 m TESS Telescope,,2.888,1.00,79.5561000
536,HD 109833 c,0.1 m TESS Telescope,,2.590,1.00,79.5561000
576,HD 116029 c,10 m Keck I Telescope,,13.700,4.60,123.2450000
692,HD 152843 c,0.1 m TESS Telescope,,5.830,1.43,107.8980000
719,HD 158259 b,1.93 m Telescope,,1.282,1.21,27.0498000
720,HD 158259 c,1.93 m Telescope,,2.230,1.21,27.0498000
721,HD 158259 d,1.93 m Telescope,,2.180,1.21,27.0498000
722,HD 158259 e,1.93 m Telescope,,2.340,1.21,27.0498000
723,HD 158259 f,1.93 m Telescope,,2.350,1.21,27.0498000
777,HD 175607 b,3.6 m ESO Telescope,,2.940,0.70,40.3303000
1065,HD 41004 A b,1.2 m Leonhard Euler Telescope,,13.200,0.85,36.6911700
1066,HD 41004 B b,1.2 m Leonhard Euler Telescope,,12.100,1.04,41.5504000
1263,HD 99492 c,3.58 m Telescopio Nazionale Galileo,,4.420,0.82,18.2038000
1265,HD 99706 c,10 m Keck I Telescope,,12.800,5.40,146.6000000
1289,HIP 41378 b,0.95 m Kepler Telescope,,2.443,1.34,106.2890000
1290,HIP 41378 c,0.95 m Kepler Telescope,,2.560,1.34,106.2890000
1291,HIP 41378 d,0.95 m Kepler Telescope,,3.960,1.34,106.2890000
1292,HIP 41378 e,0.95 m Kepler Telescope,,5.510,1.34,106.2890000
1293,HIP 41378 f,0.95 m Kepler Telescope,,10.200,1.34,106.2890000
1362,K2-102 b,0.95 m Kepler Telescope,,1.300,0.71,188.1750000
1431,K2-157 b,0.95 m Kepler Telescope,,1.000,0.88,298.3730000
1437,K2-160 b,0.95 m Kepler Telescope,,3.178,0.91,315.3630000
1438,K2-161 b,0.95 m Kepler Telescope,,6.117,2.57,916.3190000
1440,K2-163 b,0.95 m Kepler Telescope,,2.466,0.76,208.5290000
1441,K2-164 b,0.95 m Kepler Telescope,,3.249,2.20,375.6700000
1442,K2-165 b,0.95 m Kepler Telescope,,1.274,0.80,134.5910000
1443,K2-165 c,0.95 m Kepler Telescope,,1.554,0.80,134.5910000
1444,K2-165 d,0.95 m Kepler Telescope,,2.648,0.80,134.5910000
1447,K2-168 b,0.95 m Kepler Telescope,,1.860,0.83,243.9350000
1448,K2-169 b,0.95 m Kepler Telescope,,1.273,0.92,235.8670000
1450,K2-170 b,0.95 m Kepler Telescope,,1.418,0.98,392.8720000
1451,K2-170 c,0.95 m Kepler Telescope,,1.802,0.98,392.8720000
1452,K2-171 b,0.95 m Kepler Telescope,,2.687,1.72,606.1280000
1453,K2-172 b,0.95 m Kepler Telescope,,1.666,0.87,249.7420000
1454,K2-172 c,0.95 m Kepler Telescope,,3.206,0.87,249.7420000
1455,K2-173 b,0.95 m Kepler Telescope,,1.608,0.84,228.6410000
1457,K2-175 b,0.95 m Kepler Telescope,,2.038,1.42,247.2660000
1458,K2-176 b,0.95 m Kepler Telescope,,1.491,0.86,247.3020000
1459,K2-177 b,0.95 m Kepler Telescope,,2.116,1.21,492.1670000
1460,K2-178 b,0.95 m Kepler Telescope,,3.558,0.89,214.7530000
1461,K2-179 b,0.95 m Kepler Telescope,,2.513,0.77,190.8100000
1467,K2-183 b,0.95 m Kepler Telescope,,1.100,0.87,329.0410000
1471,K2-185 b,0.95 m Kepler Telescope,,1.150,0.94,268.3570000
1472,K2-185 c,0.95 m Kepler Telescope,,2.390,0.94,268.3570000
1473,K2-186 b,0.95 m Kepler Telescope,,3.172,0.98,330.7390000
1485,K2-190 b,0.95 m Kepler Telescope,,1.357,0.91,160.6790000
1486,K2-190 c,0.95 m Kepler Telescope,,1.093,0.91,160.6790000
1487,K2-191 b,0.95 m Kepler Telescope,,1.579,0.84,287.1880000
1490,K2-194 b,0.95 m Kepler Telescope,,3.642,1.28,629.5100000
1492,K2-195 c,0.95 m Kepler Telescope,,2.576,0.91,315.0140000
1493,K2-196 b,0.95 m Kepler Telescope,,3.600,1.54,584.8770000
1495,K2-198 b,0.95 m Kepler Telescope,,4.189,0.76,110.5670000
1496,K2-198 c,0.95 m Kepler Telescope,,1.423,0.76,110.5670000
1497,K2-198 d,0.95 m Kepler Telescope,,2.438,0.76,110.5670000
1500,K2-200 b,0.95 m Kepler Telescope,,1.364,0.79,184.1310000
1501,K2-201 b,0.95 m Kepler Telescope,,1.400,0.88,197.9320000
1502,K2-201 c,0.95 m Kepler Telescope,,3.286,0.88,197.9320000
1504,K2-202 b,0.95 m Kepler Telescope,,2.302,0.91,300.3970000
1505,K2-203 b,0.95 m Kepler Telescope,,1.371,0.76,166.1470000
1506,K2-204 b,0.95 m Kepler Telescope,,3.046,1.18,577.2350000
1507,K2-205 b,0.95 m Kepler Telescope,,1.996,1.08,405.3010000
1508,K2-206 b,0.95 m Kepler Telescope,,2.795,0.76,244.4430000
1509,K2-207 b,0.95 m Kepler Telescope,,2.606,0.93,363.0640000
1510,K2-208 b,0.95 m Kepler Telescope,,1.679,0.86,256.8870000
1511,K2-209 b,0.95 m Kepler Telescope,,0.869,0.71,76.4986000
1514,K2-210 b,0.95 m Kepler Telescope,,0.860,0.89,176.5100000
1515,K2-211 b,0.95 m Kepler Telescope,,1.300,0.79,272.2970000
1517,K2-213 b,0.95 m Kepler Telescope,,1.514,1.20,389.7020000
1519,K2-215 b,0.95 m Kepler Telescope,,2.124,0.97,403.9640000
1521,K2-217 b,0.95 m Kepler Telescope,,3.579,1.33,381.8780000
1522,K2-218 b,0.95 m Kepler Telescope,,2.569,1.01,394.0830000
1523,K2-219 b,0.95 m Kepler Telescope,,1.348,1.19,325.4000000
1524,K2-219 c,0.95 m Kepler Telescope,,1.438,1.19,325.4000000
1525,K2-219 d,0.95 m Kepler Telescope,,2.576,1.19,325.4000000
1528,K2-221 b,0.95 m Kepler Telescope,,1.679,0.95,318.8100000
1536,K2-227 b,0.95 m Kepler Telescope,,1.666,0.89,187.2340000
1541,K2-231 b,0.95 m Kepler Telescope,,2.500,0.95,321.2150000
1590,K2-268 d,0.95 m Kepler Telescope,,1.490,0.78,327.7830000
1591,K2-268 e,0.95 m Kepler Telescope,,1.330,0.78,327.7830000
1592,K2-268 f,0.95 m Kepler Telescope,,2.230,0.78,327.7830000
1626,K2-293 b,0.95 m Kepler Telescope,,2.450,0.95,392.2510000
1627,K2-294 b,0.95 m Kepler Telescope,,1.660,1.20,373.0780000
1633,K2-308 b,0.95 m Kepler Telescope,,9.916,1.24,1314.5300000
1636,K2-315 b,0.95 m Kepler Telescope,,0.950,0.20,56.9686000
1655,K2-330 b,0.95 m Kepler Telescope,,2.770,1.50,160.1250000
1656,K2-331 b,0.95 m Kepler Telescope,,1.790,1.06,211.4300000
1657,K2-331 c,0.95 m Kepler Telescope,,2.720,1.06,211.4300000
1658,K2-332 b,0.95 m Kepler Telescope,,2.200,0.28,123.2020000
1659,K2-333 b,0.95 m Kepler Telescope,,6.180,1.22,343.9900000
1660,K2-334 b,0.95 m Kepler Telescope,,5.650,1.49,371.8230000
1661,K2-335 b,0.95 m Kepler Telescope,,2.210,1.33,557.9930000
1662,K2-336 b,0.95 m Kepler Telescope,,1.220,0.80,239.2890000
1663,K2-337 b,0.95 m Kepler Telescope,,2.620,1.32,421.6360000
1664,K2-338 b,0.95 m Kepler Telescope,,1.030,0.63,156.9510000
1665,K2-339 b,0.95 m Kepler Telescope,,1.920,0.72,360.3600000
1667,K2-340 b,0.95 m Kepler Telescope,,3.360,1.13,738.1360000
1668,K2-341 b,0.95 m Kepler Telescope,,3.210,1.16,421.4080000
1669,K2-342 b,0.95 m Kepler Telescope,,2.030,1.09,208.3570000
1670,K2-343 b,0.95 m Kepler Telescope,,1.650,0.46,166.1690000
1671,K2-343 c,0.95 m Kepler Telescope,,2.020,0.46,166.1690000
1672,K2-344 b,0.95 m Kepler Telescope,,1.590,0.49,75.1691000
1673,K2-345 b,0.95 m Kepler Telescope,,2.110,0.52,162.4080000
1674,K2-346 b,0.95 m Kepler Telescope,,2.260,0.70,105.5800000
1675,K2-347 b,0.95 m Kepler Telescope,,2.410,0.63,320.3360000
1676,K2-348 b,0.95 m Kepler Telescope,,3.260,0.85,201.8560000
1677,K2-348 c,0.95 m Kepler Telescope,,2.670,0.85,201.8560000
1678,K2-349 b,0.95 m Kepler Telescope,,1.380,0.49,453.5670000
1681,K2-350 b,0.95 m Kepler Telescope,,1.540,1.04,489.3680000
1682,K2-350 c,0.95 m Kepler Telescope,,2.740,1.04,489.3680000
1683,K2-351 b,0.95 m Kepler Telescope,,2.540,1.05,694.7340000
1684,K2-352 b,0.95 m Kepler Telescope,,1.370,0.95,176.0510000
1685,K2-352 c,0.95 m Kepler Telescope,,1.920,0.95,176.0510000
1686,K2-352 d,0.95 m Kepler Telescope,,2.230,0.95,176.0510000
1687,K2-353 b,0.95 m Kepler Telescope,,5.550,0.99,268.5150000
1688,K2-354 b,0.95 m Kepler Telescope,,1.560,0.41,91.7220000
1695,K2-365 b,0.95 m Kepler Telescope,,2.906,1.05,187.2220000
1696,K2-366 b,0.95 m Kepler Telescope,,2.359,0.94,185.9470000
1697,K2-367 b,0.95 m Kepler Telescope,,2.413,0.62,176.9650000
1698,K2-368 b,0.95 m Kepler Telescope,,1.332,0.66,206.6080000
1699,K2-368 c,0.95 m Kepler Telescope,,1.361,0.66,206.6080000
1700,K2-368 d,0.95 m Kepler Telescope,,1.948,0.66,206.6080000
1701,K2-369 b,0.95 m Kepler Telescope,,1.313,0.88,185.5500000
1705,K2-370 b,0.95 m Kepler Telescope,,3.207,0.97,144.2020000
1706,K2-371 b,0.95 m Kepler Telescope,,13.024,0.74,442.8130000
1707,K2-372 b,0.95 m Kepler Telescope,,2.945,0.92,463.8800000
1708,K2-373 b,0.95 m Kepler Telescope,,2.061,1.49,229.5670000
1709,K2-374 b,0.95 m Kepler Telescope,,1.593,0.91,359.4390000
1710,K2-374 c,0.95 m Kepler Telescope,,2.213,0.91,359.4390000
1711,K2-375 b,0.95 m Kepler Telescope,,2.243,1.54,696.1000000
1712,K2-376 b,0.95 m Kepler Telescope,,1.736,1.15,161.6100000
1713,K2-377 b,0.95 m Kepler Telescope,,1.693,0.69,195.1490000
1714,K2-378 b,0.95 m Kepler Telescope,,2.880,0.73,687.9730000
1715,K2-379 b,0.95 m Kepler Telescope,,2.181,0.75,182.2070000
1718,K2-380 b,0.95 m Kepler Telescope,,2.729,1.32,249.3030000
1719,K2-381 b,0.95 m Kepler Telescope,,1.075,0.68,145.7010000
1720,K2-381 c,0.95 m Kepler Telescope,,2.000,0.68,145.7010000
1721,K2-381 d,0.95 m Kepler Telescope,,1.689,0.68,145.7010000
1722,K2-382 b,0.95 m Kepler Telescope,,2.072,0.81,278.4120000
1723,K2-383 b,0.95 m Kepler Telescope,,1.564,0.80,203.7880000
1724,K2-384 b,0.95 m Kepler Telescope,,1.076,0.35,82.6603000
1725,K2-384 c,0.95 m Kepler Telescope,,1.191,0.35,82.6603000
1726,K2-384 d,0.95 m Kepler Telescope,,1.392,0.35,82.6603000
1727,K2-384 e,0.95 m Kepler Telescope,,1.345,0.35,82.6603000
1728,K2-384 f,0.95 m Kepler Telescope,,2.222,0.35,82.6603000
1729,K2-385 b,0.95 m Kepler Telescope,,1.539,0.76,420.8190000
1730,K2-386 b,0.95 m Kepler Telescope,,2.320,0.97,428.7850000
1731,K2-387 b,0.95 m Kepler Telescope,,7.322,0.59,266.3180000
1732,K2-388 b,0.95 m Kepler Telescope,,3.660,0.90,290.4950000
1733,K2-389 b,0.95 m Kepler Telescope,,2.184,1.08,259.2080000
1734,K2-389 c,0.95 m Kepler Telescope,,2.040,1.08,259.2080000
1736,K2-390 b,0.95 m Kepler Telescope,,4.662,0.97,456.1220000
1737,K2-391 b,0.95 m Kepler Telescope,,1.371,0.57,507.9400000
1738,K2-392 b,0.95 m Kepler Telescope,,1.850,1.06,406.9850000
1739,K2-393 b,0.95 m Kepler Telescope,,2.352,1.07,265.9140000
1740,K2-394 b,0.95 m Kepler Telescope,,1.692,0.63,98.0152000
1741,K2-395 b,0.95 m Kepler Telescope,,2.597,0.78,286.7270000
1742,K2-395 c,0.95 m Kepler Telescope,,3.395,0.78,286.7270000
1743,K2-396 b,0.95 m Kepler Telescope,,1.579,0.92,274.8640000
1744,K2-396 c,0.95 m Kepler Telescope,,3.124,0.92,274.8640000
1745,K2-397 b,0.95 m Kepler Telescope,,2.417,0.97,199.3540000
1746,K2-398 b,0.95 m Kepler Telescope,,2.274,1.24,606.9920000
1747,K2-398 c,0.95 m Kepler Telescope,,5.098,1.24,606.9920000
